,language_initial,koryakov_db_id,eng_vil_name,rus_vil_name,lang_1_K,lang_2_K,lang_1_S,lang_2_S,same_languages,name_1885,name_1895,name_1926,name_2010,census_1885,census_1895,census_1926,census_2010,Lat,Lon,Republic,Region,elevation,LevK_comments,kutans,Family,language
84,Avar ,4207.0,Garakolob,Гараколоб,Avar,,Avar,,True,Гара-Коло,Гара-Коло (Гаракулабъ),Кара-Коло,Гараколоб,91.0,98.0,60.0,246.0,42.048887,46.455015,Daghestan,,2067.20190429687,,not_kutan,Avar,Avar 
85,Avar ,73.0,Gatsalukh,Гацалух,Avar,,Avar,,True,Гоцалух (Ацалух),Гоцалухъ (Ацалухъ),Гацалух,Гацалух,340.0,364.0,363.0,473.0,42.59298,46.64949,Daghestan,,1871.66149902344,,not_kutan,Avar,Avar 
86,Avar ,4243.0,Gvedysh,Гведыш,Avar,,Avar,,True,Гведиш (Гундуш),Гведишь (Ги(у)ндушъ),Гведыш,Гведыш,202.0,200.0,99.0,766.0,42.135909999999996,46.41437,Daghestan,,1853.4951171875,,not_kutan,Avar,Avar 
87,Avar ,4189.0,Gebguda,Гебгуда,Avar,,Avar,,True,Гебгута,"Гергута (Гегуда, Гегода)",Гебгуда,Гебгуда,42.0,28.0,15.0,49.0,42.190026,46.354817,Daghestan,,1754.84094238281,,not_kutan,Avar,Avar 
88,Avar ,4189.0,Gebguda,Гебгуда,Avar,,Avar,,True,Гегута (Гегода),"Гергута (Гегуда, Гегода)",Гебгуда,Гебгуда,74.0,28.0,15.0,49.0,42.190026,46.354817,Daghestan,,1754.84094238281,,not_kutan,Avar,Avar 
89,Avar ,4245.0,Gendukh,Гендух,Avar,,Avar,,True,Гинлух,Гиндухъ (Индухъ),Гиндух,Гендух,81.0,85.0,28.0,284.0,42.13476,46.403084,Daghestan,,1751.52648925781,,not_kutan,Avar,Avar 
90,Avar ,4257.0,Genekolob,Генеколоб,Avar,,Avar,,True,Гени-Коло,Гени-Коло (Геникулабъ),Гене-Коло,Генеколоб,215.0,229.0,236.0,750.0,41.916992,46.600198999999996,Daghestan,,2052.53295898437,,not_kutan,Avar,Avar 
91,Avar ,77.0,Genichutl',Геничутль,Avar,,Avar,,True,Геничутль,Геничутль,Гиничутль,Геничутль,426.0,457.0,261.0,315.0,42.56455,46.73959,Daghestan,,1772.45178222656,,not_kutan,Avar,Avar 
92,Avar ,1227.0,Genta,Гента,Avar,,Avar,,True,Гинта,Гинта (Хинда),Энта,Гента,547.0,521.0,559.0,583.0,42.37001,46.560990000000004,Daghestan,,1702.54846191406,,not_kutan,Avar,Avar 
93,Avar ,945.0,Gergebil',Гергебиль,Avar,,Avar,,True,Гергебиль (Хергеб),Гергебиль (Хергебъ),Гергебель,Гергебиль,1193.0,1310.0,1489.0,5196.0,42.5047,47.0661,Daghestan,,729.883544921875,,not_kutan,Avar,Avar 
94,Avar ,4139.0,Gidatli,Гидатли,Avar,,Avar,,True,Гидатль,Гидатль,Гидатль,Гидатли,47.0,52.0,46.0,0.0,42.266327000000004,46.374506,Daghestan,,1830.7548828125,,not_kutan,Avar,Avar 
95,Avar ,1151.0,Gidib,Гидиб,Avar,,Avar,,True,Гидиб,Гидиб (Гадбал),Гедиб,Гидиб,139.0,145.0,316.0,61.0,42.229420000000005,46.80621,Daghestan,,1776.4934082031302,,not_kutan,Avar,Avar 
96,Avar ,947.0,Gilib,Гилиб,Avar,,Avar,,True,Гилиб (Гили),Гиллиб (Гиллихи),Гилиб,Гилиб,462.0,463.0,438.0,642.0,42.1169,46.7761,Daghestan,,1775.21081542969,,not_kutan,Avar,Avar 
